Date,TrainSet,Method,Size,Model,Params(M),FLOPs(B),Acc
-,ImageNet-1K+ImageNet-22K,ViT,384,ViT-B/16,87,55.4,84.6
-,ImageNet-1K+ImageNet-22K,ViT,384,ViT-L/16,304,190.7,85.3
-,ImageNet-1K+JFT-300M,ViT,512,ViT-L/16,307,364,87.76
-,ImageNet-1K+JFT-300M,ViT,518,ViT-H/14,632,1021,88.55
-,ImageNet-1K+JFT-3B,ViT,518,ViT-G/14,1843,5160,90.45
-,ImageNet-1K+JFT-300M,ViT-MoE,384,ViT-MoE-S/32_Last-2,167,20.44,77.59
-,ImageNet-1K+JFT-300M,ViT-MoE,384,ViT-MoE-B/16_Every-2,979,303.24,85.26
-,ImageNet-1K+JFT-300M,ViT-MoE,384,ViT-MoE-L/16_Every-2,3400,2170,87.41
-,ImageNet-1K+JFT-300M,ViT-MoE,384,ViT-MoE-H/14_Every-2,7200,5790,88.36
-,ImageNet-1K+JFT-300M,ViT-MoE,384,ViT-MoE-15B_Every-2,14700,33943,90.35
-,ImageNet-1K+FLD-900M,Florence,384,Florence-CoSwin-H,637,-1,90.05
-,ImageNet-1K,DeiT,224,DeiT-S,22,4.6,79.8
-,ImageNet-1K,DeiT,224,DeiT-B,86,17.5,81.8
-,ImageNet-1K,DeiT,384,DeiT-B,86,55.4,83.1
-,ImageNet-1K,Swin,224,Swin-T,29,4.5,81.3
-,ImageNet-1K,Swin,224,Swin-S,50,8.7,83.0
-,ImageNet-1K,Swin,224,Swin-B,88,15.4,83.3
-,ImageNet-1K,Swin,384,Swin-B,88,47.0,84.2
-,ImageNet-1K+ImageNet-22K,Swin,384,Swin-B,88,47.0,86.0
-,ImageNet-1K+ImageNet-22K,Swin,384,Swin-L,197,103.9,86.4
-,ImageNet-1K+ImageNet-22K,SwinV2,384,SwinV2-B,88,-1,87.1
-,ImageNet-1K+ImageNet-22K,SwinV2,384,SwinV2-L,197,-1,87.7
-,ImageNet-1K+ImageNet-22K-ext,SwinV2,640,SwinV2-G,3000,-1,90.17
-,ImageNet-1K,PVT,224,PVT-Small,24.5,3.8,79.8
-,ImageNet-1K,PVT,224,PVT-Medium,44.2,6.7,81.2
-,ImageNet-1K,PVT,224,PVT-Large,61.5,9.8,81.7
-,ImageNet-1K,PVTv2,224,PVTv2-B1,13.1,2.1,78.7
-,ImageNet-1K,PVTv2,224,PVTv2-B2-Li,22.6,3.9,82.1
-,ImageNet-1K,PVTv2,224,PVTv2-B3,45.2,6.9,83.2
-,ImageNet-1K,PVTv2,224,PVTv2-B4,62.6,10.1,83.6
-,ImageNet-1K,PVTv2,224,PVTv2-B5,82.0,11.8,83.8
-,ImageNet-1K,CaiT,224,CaiT-S-24,46.9,9.4,82.7
-,ImageNet-1K,CaiT,224,CaiT-S-36,68.2,13.9,83.3
-,ImageNet-1K,CaiT,224,CaiT-M-24,185.9,36.0,83.4
-,ImageNet-1K,CaiT,384,CaiT-S-24,46.9,32.2,84.3
-,ImageNet-1K,CaiT,384,CaiT-S-36,68,48.0,85.0
-,ImageNet-1K,CaiT,384,CaiT-M-24,185.9,116.1,84.5
-,ImageNet-1K,CaiT,448,CaiT-M-48,356,329.6,86.5
-,ImageNet-1K,CvT,224,CvT-13,20,4.5,81.6
-,ImageNet-1K,CvT,224,CvT-21,32,7.1,82.5
-,ImageNet-1K,CvT,384,CvT-13,20,16.3,83.0
-,ImageNet-1K,CvT,384,CvT-21,32,24.9,83.3
